source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[soil type]	characteristics[land use]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[land use]
PXD003572-Site11	PXD003572-Site11	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open woodland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_31	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_31.raw	open woodland
PXD003572-Site11	PXD003572-Site11	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open woodland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_32	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_32.raw	open woodland
PXD003572-Site11	PXD003572-Site11	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	open woodland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_33	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_33.raw	open woodland
PXD003572-Site12	PXD003572-Site12	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine afforestation	Southeast Spain	soil	20 cm	1	141128_NJ_FB_34	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_34.raw	pine afforestation
PXD003572-Site12	PXD003572-Site12	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine afforestation	Southeast Spain	soil	20 cm	2	141128_NJ_FB_35	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_35.raw	pine afforestation
PXD003572-Site12	PXD003572-Site12	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine afforestation	Southeast Spain	soil	20 cm	3	141128_NJ_FB_36	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_36.raw	pine afforestation
PXD003572-Site13	PXD003572-Site13	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine woodland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_37	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_37.raw	pine woodland
PXD003572-Site13	PXD003572-Site13	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine woodland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_38	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_38.raw	pine woodland
PXD003572-Site13	PXD003572-Site13	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	pine woodland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_39	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_39.raw	pine woodland
PXD003572-Site14	PXD003572-Site14	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed pine woodland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_41	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_41.raw	mixed pine woodland
